ID,gen
gene-KPHS_00550,putative glycoprotein
gene-KPHS_00560,raffinose permease
gene-KPHS_00570,L-rhamnose 1-epimerase
gene-KPHS_00580,alcohol dehydrogenase
gene-KPHS_00590,rhamnose ABC transport system permease component
gene-KPHS_00600,putative inner-membrane translocator
gene-KPHS_00610,putative ABC transporter
gene-KPHS_00620,rhamnose transport system substrate-binding component
gene-KPHS_00630,rhamnulose-1-phosphate aldolase
gene-KPHS_00640,L-rhamnose isomerase
gene-KPHS_00650,rhamnulokinase
gene-KPHS_00660,transcriptional activator RhaS
gene-KPHS_00670,rhaRS operon positive regulator
gene-KPHS_00680,rhamnose-proton symporter
gene-KPHS_00690,superoxide dismutase
gene-KPHS_00700,6-N-hydroxylaminopurine resistance protein
gene-KPHS_00710,two-component sensor protein
gene-KPHS_00720,DNA-binding transcriptional regulator CpxR
gene-KPHS_00730,periplasmic repressor of stress-related two-component regulatory system
gene-KPHS_00740,ferrous iron efflux protein F
gene-KPHS_00750,6-phosphofructokinase
gene-KPHS_00760,ribonuclease activity regulator protein RraA
gene-KPHS_00770,1%2C4-dihydroxy-2-naphthoate octaprenyltransferase
gene-KPHS_00780,ATP-dependent protease ATP-binding subunit
gene-KPHS_00790,ATP-dependent protease peptidase subunit
gene-KPHS_00800,essential cell division protein
gene-KPHS_00810,DNA-binding transcriptional dual regulator
gene-KPHS_00820,hypothetical protein
gene-KPHS_00830,primosome assembly protein PriA
gene-KPHS_00840,50S ribosomal protein L31
gene-KPHS_00850,transcriptional repressor for methionine biosynthesis
gene-KPHS_00860,cystathionine beta-lyase
gene-KPHS_00870,bifunctional aspartate kinase II/homoserine dehydrogenase II
gene-KPHS_00880,hypothetical protein
gene-KPHS_00890,bifunctional metallophosphatase/5'-nucleotidase
gene-KPHS_00900,putative gamma-carboxymuconolactone decarboxylase subunit
gene-KPHS_00910,putative LysR-family transcriptional regulator
gene-KPHS_00920,5%2C10-methylenetetrahydrofolate reductase
gene-KPHS_00930,DMT family transporter
gene-KPHS_00940,glycerol dehydrogenase
gene-KPHS_00950,fructose-6-phosphate aldolase
gene-KPHS_00960,helix-turn-helix transcriptional regulator
gene-KPHS_00970,metal-binding protein ZinT
gene-KPHS_00980,phosphoenolpyruvate carboxylase
gene-KPHS_00990,acetylornithine deacetylase
gene-KPHS_01000,N-acetyl-gamma-glutamyl-phosphate reductase
gene-KPHS_01010,acetylglutamate kinase
gene-KPHS_01020,argininosuccinate lyase
gene-KPHS_01030,DNA-binding transcriptional regulator OxyR
gene-KPHS_01040,soluble pyridine nucleotide transhydrogenase
gene-KPHS_01050,fatty acid biosynthesis regulator
gene-KPHS_01060,YijD family membrane protein
gene-KPHS_01070,tRNA (uracil-5-)-methyltransferase
gene-KPHS_01080,vitamin B12/cobalamin outer membrane transporter
gene-KPHS_01090,glutamate racemase
gene-KPHS_01100,transcriptional regulator HdfR
gene-KPHS_01110,DUF413 domain-containing protein
gene-KPHS_01120,putative 2-component regulator
gene-KPHS_01130,hypothetical protein
gene-KPHS_01140,acetolactate synthase 2 catalytic subunit
gene-KPHS_01150,acetolactate synthase 2 regulatory subunit
gene-KPHS_01160,branched-chain amino acid aminotransferase
gene-KPHS_01170,dihydroxy-acid dehydratase
gene-KPHS_01180,threonine dehydratase
gene-KPHS_01190,transcriptional activator protein
gene-KPHS_01200,ketol-acid reductoisomerase
gene-KPHS_01210,peptidyl-prolyl cis-trans isomerase C
gene-KPHS_01220,peptidyl-prolyl cis-trans isomerase C
gene-KPHS_01230,ATP-dependent DNA helicase Rep
gene-KPHS_01240,putative transport protein
gene-KPHS_01250,putative amidohydrolase 2
gene-KPHS_01260,putative LysR family regulatory protein
gene-KPHS_01270,guanosine pentaphosphatase
gene-KPHS_01280,ATP-dependent RNA helicase RhlB
gene-KPHS_01290,thioredoxin
gene-KPHS_01300,transcription termination factor Rho
gene-KPHS_01310,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase
gene-KPHS_01320,lipopolysaccharide biosynthesis protein WzzE
gene-KPHS_01330,UDP-N-acetylglucosamine 2-epimerase
gene-KPHS_01340,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase
gene-KPHS_01350,dTDP-glucose 4%2C6-dehydratase
gene-KPHS_01360,glucose-1-phosphate thymidylyltransferase
gene-KPHS_01370,TDP-fucosamine acetyltransferase
gene-KPHS_01380,TDP-4-oxo-6-deoxy-D-glucose transaminase
gene-KPHS_01390,entero common antigen translocase
gene-KPHS_01400,4-alpha-L-fucosyltransferase
gene-KPHS_01410,common antigen polymerase
gene-KPHS_01420,putative UDP-N-acetyl-D-mannosaminuronic acid transferase
gene-KPHS_01430,putative amino acid/amine transport protein
gene-KPHS_01440,hypothetical protein
gene-KPHS_01450,protoheme IX biogenesis protein HemY
gene-KPHS_01460,uroporphyrinogen III methylase
gene-KPHS_01470,uroporphyrinogen-III synthase
gene-KPHS_01480,porphobilinogen deaminase
gene-KPHS_01490,hypothetical protein
gene-KPHS_01500,putative adenylate cyclase
gene-KPHS_01510,frataxin-like protein
gene-KPHS_01520,lipoprotein
gene-KPHS_01530,diaminopimelate epimerase
gene-KPHS_01540,DUF484 domain-containing protein
gene-KPHS_01550,tyrosine recombinase
gene-KPHS_01560,flavin mononucleotide phosphatase
gene-KPHS_01570,DNA-dependent helicase II
gene-KPHS_01580,50S ribosomal protein L15
gene-KPHS_01590,magnesium and cobalt transport protein
gene-KPHS_01600,chloramphenicol resistance
gene-KPHS_01610,thioesterase family protein
gene-KPHS_01620,phospholipase A
gene-KPHS_01630,ATP-dependent DNA helicase
gene-KPHS_01640,threonine efflux system
gene-KPHS_01650,ISNCY family transposase
gene-KPHS_01660,homoserine/homoserine lactone efflux protein
gene-KPHS_01670,lysophospholipase L2
gene-KPHS_01680,putative sugar phosphatase
gene-KPHS_01690,putative transport protein
gene-KPHS_01700,5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase
gene-KPHS_01710,putative dienelactone hydrolase
gene-KPHS_01720,uridine phosphorylase
gene-KPHS_01730,DNA recombination protein RmuC
gene-KPHS_01740,ubiquinone/menaquinone biosynthesis methyltransferase
gene-KPHS_01750,SCP2 domain-containing protein
gene-KPHS_01760,putative ubiquinone biosynthesis protein UbiB
gene-KPHS_01770,twin arginine translocase protein A
gene-KPHS_01780,sec-independent protein translocase TatB
gene-KPHS_01790,TatABCE protein translocation system subunit
gene-KPHS_01800,deoxyribonuclease TatD
gene-KPHS_01810,transcriptional activator RfaH
gene-KPHS_01820,hypothetical protein
gene-KPHS_01830,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
gene-KPHS_01840,FMN reductase
gene-KPHS_01850,acetyl-CoA acetyltransferase
gene-KPHS_01860,3-hydroxyacyl-CoA dehydrogenase/3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase
gene-KPHS_01870,proline dipeptidase
gene-KPHS_01880,IMPACT family protein
gene-KPHS_01890,potassium transport protein
gene-KPHS_01900,protoporphyrinogen oxidase
gene-KPHS_01910,UDP-N-acetylmuramate dehydrogenase
gene-KPHS_01920,biotin--protein ligase
gene-KPHS_01930,pantothenate kinase
gene-KPHS_01940,elongation factor Tu
gene-KPHS_01950,preprotein translocase subunit SecE
gene-KPHS_01960,transcription antitermination protein NusG
gene-KPHS_01970,50S ribosomal protein L11
gene-KPHS_01980,50S ribosomal protein L1
gene-KPHS_01990,50S ribosomal protein L10
gene-KPHS_02000,50S ribosomal protein L7/L12
gene-KPHS_02010,DNA-directed RNA polymerase subunit beta
gene-KPHS_02020,DNA-directed RNA polymerase subunit beta'
gene-KPHS_02030,anaerobic C4-dicarboxylate transporter
gene-KPHS_02040,putative PEP-dependent phosphotransferase enzyme III
gene-KPHS_02050,PTS system lactose/cellobiose specific transporter subunit IIB
gene-KPHS_02060,sensor domain-containing diguanylate cyclase
gene-KPHS_02070,hypothetical protein
gene-KPHS_02080,thiazole biosynthesis protein ThiH
gene-KPHS_02090,thiamin biosynthesis ThiGH complex subunit for thiazole moiety
gene-KPHS_02100,sulfur carrier protein ThiS
gene-KPHS_02110,thiamine biosynthesis protein ThiF
gene-KPHS_02120,thiamine-phosphate pyrophosphorylase
gene-KPHS_02130,thiamin biosynthesis protein for pyrimidine moiety
gene-KPHS_02140,anti-RNA polymerase sigma 70 factor
gene-KPHS_02150,NADH pyrophosphatase
gene-KPHS_02160,uroporphyrinogen decarboxylase
gene-KPHS_02170,endonuclease V
gene-KPHS_02180,YjaG family protein
gene-KPHS_02190,transcriptional regulator HU subunit alpha
gene-KPHS_02200,DUF1481 domain-containing protein
gene-KPHS_02210,zinc resistance protein
gene-KPHS_02220,hypothetical protein
gene-KPHS_02230,sensor kinase of Zn/Pb responsive two-component regulatory system
gene-KPHS_02240,DNA-binding response regulator in two-component regulatory system with ZraS
gene-KPHS_02250,phosphoribosylamine--glycine ligase
gene-KPHS_02260,bifunctional purine biosynthesis protein PurH
gene-KPHS_02270,putative acyltransferase
gene-KPHS_02280,homoserine O-succinyltransferase
gene-KPHS_02290,malate synthase
gene-KPHS_02300,isocitrate lyase
gene-KPHS_02310,bifunctional isocitrate dehydrogenase kinase/phosphatase protein
gene-KPHS_02320,IclR family transcriptional regulator
gene-KPHS_02330,B12-dependent methionine synthase
gene-KPHS_02340,putative alpha helix protein
gene-KPHS_02350,shikimate 5-dehydrogenase
gene-KPHS_02360,L-sorbose 1-phosphate reductase
gene-KPHS_02370,sorbose permease IID component
gene-KPHS_02380,sorbose permease IIC component
gene-KPHS_02390,PTS enzyme IIAB%2C mannose-specific
gene-KPHS_02400,sorbose-specific phosphotransferase enzyme IIA component
gene-KPHS_02410,sorbitol-6-phosphate 2-dehydrogenase
gene-KPHS_02420,SorC family transcriptional regulator
gene-KPHS_02430,23S rRNA pseudouridine synthase F
gene-KPHS_02440,DUF3811 domain-containing protein
gene-KPHS_02450,putative cytochrome oxidase
gene-KPHS_02460,aspartate kinase III
gene-KPHS_02470,glucose-6-phosphate isomerase
gene-KPHS_02480,UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase
gene-KPHS_02490,GNAT family N-acetyltransferase
gene-KPHS_02500,reactive intermediate/imine deaminase
gene-KPHS_02510,hypothetical protein
gene-KPHS_02520,L-asparagine permease
gene-KPHS_02530,putative amino acid transport protein
gene-KPHS_02540,serine dehydratase subunit alpha family protein
gene-KPHS_02550,phosphate-starvation-inducible protein PsiE
gene-KPHS_02560,maltose transporter permease
gene-KPHS_02570,maltose transporter membrane protein
gene-KPHS_02580,maltose ABC transporter periplasmic protein
gene-KPHS_02590,maltose/maltodextrin transporter ATP-binding protein
gene-KPHS_02600,maltoporin
gene-KPHS_02610,maltose operon periplasmic
gene-KPHS_02620,chorismate pyruvate lyase
gene-KPHS_02630,4-hydroxybenzoate octaprenyltransferase
gene-KPHS_02640,glycerol-3-phosphate acyltransferase
gene-KPHS_02650,diacylglycerol kinase
gene-KPHS_02660,LexA repressor
gene-KPHS_02670,DNA-damage-inducible protein F
gene-KPHS_02680,hypothetical protein
gene-KPHS_02690,putative stress-response protein
gene-KPHS_02700,zinc uptake transcriptional repressor
gene-KPHS_02710,hypothetical protein
gene-KPHS_02720,hemolysin
gene-KPHS_02730,tRNA-dihydrouridine synthase A
gene-KPHS_02740,phage shock protein G
gene-KPHS_02750,quinone oxidoreductase
gene-KPHS_02760,replicative DNA helicase
gene-KPHS_02770,alanine racemase
gene-KPHS_02780,aromatic amino acid aminotransferase
gene-KPHS_02790,acid phosphatase/phosphotransferase
gene-KPHS_02800,YjbQ family protein
gene-KPHS_02810,MmcQ/YjbR family DNA-binding protein
gene-KPHS_02820,excinuclease ABC subunit A
gene-KPHS_02830,single-strand DNA-binding protein
gene-KPHS_02840,putative periplasmic binding protein of transport system
gene-KPHS_02850,hypothetical protein
gene-KPHS_02860,outer membrane ferric enterobactin receptor
gene-KPHS_02870,helix-turn-helix transcriptional regulator
gene-KPHS_02880,putative hydrolase
gene-KPHS_02890,hypothetical protein
gene-KPHS_02900,prepilin peptidase dependent protein C
gene-KPHS_02910,putative outer membrane antigen
gene-KPHS_02920,anti-adapter protein IraM
gene-KPHS_02930,inositol monophosphatase
gene-KPHS_02940,mgl repressor%2C galactose operon inducer
gene-KPHS_02950,ribonuclease Z
gene-KPHS_02960,putrescine/spermidine ABC transporter ATPase
gene-KPHS_02970,periplasmic maltose-binding protein
gene-KPHS_02980,ABC transporter permease
gene-KPHS_02990,ABC superfamily ATP binding cassette transporter permease protein
gene-KPHS_03000,YjcB family protein
gene-KPHS_03010,EAL domain-containing protein
gene-KPHS_03020,DNA-binding transcriptional regulator SoxS
gene-KPHS_03030,redox-sensing activator of soxS
gene-KPHS_03040,putative S-transferase
gene-KPHS_03050,NCS2 family permease
gene-KPHS_03060,putative sodium:hydrogen antiporter
gene-KPHS_03070,LysR family transcriptional regulator
gene-KPHS_03080,putative inner membrane protein
gene-KPHS_03090,putative inner membrane protein
gene-KPHS_03100,hypothetical protein
gene-KPHS_03110,putative fimbrial chaperone protein
gene-KPHS_03120,putative chaperone
gene-KPHS_03130,putative outer membrane usher protein
gene-KPHS_03140,fimbrial morphology protein
gene-KPHS_03150,putative adhesin
gene-KPHS_03160,acetate permease
gene-KPHS_03170,DUF485 domain-containing protein
gene-KPHS_03180,acetyl-CoA synthetase
gene-KPHS_03190,hypothetical protein
gene-KPHS_03200,glutamate/aspartate:proton symporter
gene-KPHS_03210,sel1 repeat family protein
gene-KPHS_03220,formate dehydrogenase-H
gene-KPHS_03230,formate dehydrogenase-H
gene-KPHS_03240,hypothetical protein
gene-KPHS_03250,putative response regulator
gene-KPHS_03260,type IV toxin-antitoxin system AbiEi family antitoxin
gene-KPHS_03270,nucleotidyl transferase AbiEii/AbiGii toxin family protein
gene-KPHS_03280,putative carbohydrate kinase
gene-KPHS_03290,ribose ABC transporter ATP-binding protein
gene-KPHS_03300,ribose ABC superfamily ATP binding cassette transporter%2C permease protein
gene-KPHS_03310,putative ABC transporter
gene-KPHS_03320,putative histidine protein kinase
gene-KPHS_03330,membrane protein
gene-KPHS_03340,carbon-phosphorus lyase complex accessory protein
gene-KPHS_03350,phosphonate transport ATP-binding protein
gene-KPHS_03360,phosphonate metabolism protein PhnM
gene-KPHS_03370,phosphonate transport ATP-binding protein
gene-KPHS_03380,phosphonates transport ATP-binding protein
gene-KPHS_03390,protein in phn operon
gene-KPHS_03400,phosphonate metabolism protein
gene-KPHS_03410,carbon-phosphorus lyase complex subunit
gene-KPHS_03420,phosphonate C-P lyase system protein
gene-KPHS_03430,putative transcriptional regulator
gene-KPHS_03440,VOC family metalloprotein YjdN
gene-KPHS_03450,putative alkylphosphonate uptake protein in phosphonate metabolism
gene-KPHS_03460,proline/glycine betaine transporter
gene-KPHS_03470,DNA-binding transcriptional regulator MelR
gene-KPHS_03480,alpha-galactosidase
gene-KPHS_03490,melibiose:sodium symporter
gene-KPHS_03500,hypothetical protein
gene-KPHS_03510,plasmid segregation protein ParM
gene-KPHS_03520,plasmid stable inheritance protein
gene-KPHS_03530,IS3 family transposase
gene-KPHS_03540,IS3 family transposase
gene-KPHS_03550,chaperone-modulator protein CbpM
gene-KPHS_03560,curved DNA-binding protein
gene-KPHS_03570,hypothetical protein
gene-KPHS_03580,putative transmembrane protein
gene-KPHS_03590,hypothetical protein
gene-KPHS_03600,putative DSBA oxidoreductase
gene-KPHS_03610,hemin storage system HmsS protein
gene-KPHS_03620,biofilm PGA synthesis N-glycosyltransferase PgaC
gene-KPHS_03630,putative polysaccharide deacetylase
gene-KPHS_03640,poly-beta-1%2C6 N-acetyl-D-glucosamine export porin PgaA
gene-KPHS_03650,LuxR family transcriptional regulator
gene-KPHS_03660,hypothetical protein
gene-KPHS_03670,PerC family transcriptional regulator
gene-KPHS_03680,hypothetical protein
gene-KPHS_03690,DUF1176 domain-containing protein
gene-KPHS_03700,putative TetR/AcrR family transcriptional regulator
gene-KPHS_03710,thiol:disulfide interchange protein
gene-KPHS_03720,divalent cation tolerance protein
gene-KPHS_03730,anaerobic C4-dicarboxylate transporter
gene-KPHS_03740,aspartate ammonia-lyase
gene-KPHS_03750,proline-specific peptidase
gene-KPHS_03760,FxsA protein
gene-KPHS_03770,putative transport
gene-KPHS_03780,hypothetical protein
gene-KPHS_03790,co-chaperonin
gene-KPHS_03800,chaperonin GroEL
gene-KPHS_03810,putative lipoprotein
gene-KPHS_03820,hypothetical protein
gene-KPHS_03830,microcin H47 ABC transporter%2C permease/ATP-binding protein
gene-KPHS_03840,microcin H47 secretion protein
gene-KPHS_03850,hypothetical protein
gene-KPHS_03860,fimbrial protein
gene-KPHS_03870,putative fimbrial biogenesis outer membrane usher protein
gene-KPHS_03880,fimbrial biogenesis periplasmic chaperone
gene-KPHS_03890,type 1 fimbrial protein
gene-KPHS_03900,winged helix-turn-helix domain-containing protein
gene-KPHS_03910,putative aminomutase
gene-KPHS_03920,elongation factor P
gene-KPHS_03930,entericidin A
gene-KPHS_03940,entericidin B membrane lipoprotein
gene-KPHS_03950,quarternary ammonium compound transport protein
gene-KPHS_03960,outer membrane lipoprotein Blc
gene-KPHS_03970,fumarate reductase subunit D
gene-KPHS_03980,fumarate reductase%2C cytochrome b subunit
gene-KPHS_03990,fumarate reductase iron-sulfur subunit
gene-KPHS_04000,fumarate reductase
gene-KPHS_04010,lysyl-tRNA synthetase
gene-KPHS_04020,inner membrane transporter YjeM
gene-KPHS_04030,putative periplasmic binding protein
gene-KPHS_04040,phosphatidylserine decarboxylase
gene-KPHS_04050,ribosome-associated GTPase
gene-KPHS_04060,oligoribonuclease
gene-KPHS_04070,putative arginine-binding periplasmic protein
gene-KPHS_04080,hypothetical protein
gene-KPHS_04090,ferredoxin-like protein
gene-KPHS_04100,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase
gene-KPHS_04110,putative ATPase
gene-KPHS_04120,N-acetylmuramoyl-l-alanine amidase II
gene-KPHS_04130,DNA mismatch repair protein MutL
gene-KPHS_04140,DNA mismatch repair protein
gene-KPHS_04150,tRNA delta(2)-isopentenylpyrophosphate transferase
gene-KPHS_04160,RNA-binding protein Hfq
gene-KPHS_04170,putative GTPase HflX
gene-KPHS_04180,FtsH protease regulator HflK
gene-KPHS_04190,FtsH protease regulator HflC
gene-KPHS_04200,hypothetical protein
gene-KPHS_04220,hypothetical protein
gene-KPHS_04210,DUF2065 domain-containing protein
gene-KPHS_04230,adenylosuccinate synthetase
gene-KPHS_04240,transcriptional repressor NsrR
gene-KPHS_04250,ribonuclease R
gene-KPHS_04260,23S rRNA (guanosine-2'-O-)-methyltransferase
gene-KPHS_04270,isovaleryl CoA dehydrogenase
gene-KPHS_04280,DUF1471 domain-containing protein
gene-KPHS_04290,biofilm peroxide resistance protein BsmA
gene-KPHS_04300,putative hydrolase
gene-KPHS_04310,transcriptional repressor UlaR
gene-KPHS_04320,putative L-ascorbate 6-phosphate lactonase
gene-KPHS_04330,PTS system ascorbate-specific transporter subunit IIC
gene-KPHS_04340,L-ascorbate-specific enzyme IIB component of PTS
gene-KPHS_04350,L-ascorbate-specific enzyme IIA component of PTS
gene-KPHS_04360,3-dehydro-L-gulonate-6-phosphate decarboxylase
gene-KPHS_04370,L-xylulose 5-phosphate 3-epimerase
gene-KPHS_04380,L-ribulose-5-phosphate 4-epimerase
gene-KPHS_04390,MFS transporter
gene-KPHS_04400,DUF1471 domain-containing protein
gene-KPHS_04410,30S ribosomal protein S6
gene-KPHS_04420,30S ribosomal protein S18
gene-KPHS_04430,50S ribosomal protein L9
gene-KPHS_04440,putative cell envelope opacity-associated protein A
gene-KPHS_04450,peptidyl-prolyl cis-trans isomerase
gene-KPHS_04460,D-alanine/D-serine/glycine permease
gene-KPHS_04470,cell morphogenesis/cell wall metabolism regulator
gene-KPHS_04480,putative cationic amino acid transport protein
gene-KPHS_04490,putative helix-turn-helix AraC-type transcriptional regulator
gene-KPHS_04500,putative oxidoreductase
gene-KPHS_04510,putative transcriptional regulator
gene-KPHS_04520,2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase
gene-KPHS_04530,3'(2')%2C5'-bisphosphate nucleotidase CysQ
gene-KPHS_04540,YtfJ family protein
gene-KPHS_04550,DUF1107 domain-containing protein
gene-KPHS_04560,putative hemolysin-related membrane protein
gene-KPHS_04570,methionine sulfoxide reductase A
gene-KPHS_04580,putative outer membrane protein
gene-KPHS_04590,autotransporter assembly complex protein TamB
gene-KPHS_04600,gamma-glutamylcyclotransferase
gene-KPHS_04610,hypothetical protein
gene-KPHS_04620,hypothetical protein
gene-KPHS_04630,inorganic diphosphatase
gene-KPHS_04640,putative D-ribose transport system periplasmic binding component
gene-KPHS_04660,hypothetical protein
gene-KPHS_04650,sugar ABC transporter ATP-binding protein
gene-KPHS_04670,sugar ABC transporter membrane protein
gene-KPHS_04680,inner membrane ABC transporter permease YjfF
gene-KPHS_04690,fructose-1%2C6-bisphosphatase
gene-KPHS_04700,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
gene-KPHS_04710,putative acyltransferase domain protein
gene-KPHS_04720,putative thioredoxin-like protein
gene-KPHS_04730,hypothetical protein
gene-KPHS_04740,ribosome-associated protein
gene-KPHS_04750,peptidase PmbA
gene-KPHS_04760,cytochrome b(562)
gene-KPHS_04770,hypothetical protein
gene-KPHS_04780,glycine dehydrogenase
gene-KPHS_04790,putative cytoplasmic protein
gene-KPHS_04800,putative cytoplasmic protein
gene-KPHS_04810,putative inner membrane protein
gene-KPHS_04820,putative inner membrane protein
gene-KPHS_04830,adenine deaminase dihydroorotase
gene-KPHS_04840,DgaE family pyridoxal phosphate-dependent ammonia lyase
gene-KPHS_04850,KDGP aldolase family protein
gene-KPHS_04860,putative isomerase
gene-KPHS_04870,putative mannitol/fructose-specific PTS family enzyme IIA component
gene-KPHS_04880,bifunctional antitoxin/transcriptional repressor RelB
gene-KPHS_04890,putative inner membrane protein
gene-KPHS_04900,anaerobic ribonucleotide reductase-activating protein
gene-KPHS_04910,anaerobic ribonucleoside triphosphate reductase
gene-KPHS_04920,hypothetical protein
gene-KPHS_04930,MurR/RpiR family transcriptional regulator
gene-KPHS_04940,hypothetical protein
gene-KPHS_04950,putative phosphotransferase protein
gene-KPHS_04960,6-phospho-beta-glucosidase
gene-KPHS_04970,putative phosphotransferase protein
gene-KPHS_04980,trehalase 6-P hydrolase
gene-KPHS_04990,trehalose(maltose)-specific PTS system components IIBC
gene-KPHS_05000,trehalose repressor
gene-KPHS_05010,magnesium-transporting ATPase MgtA
gene-KPHS_05020,2-iminobutanoate/2-iminopropanoate deaminase
gene-KPHS_05030,aspartate carbamoyltransferase regulatory subunit
gene-KPHS_05040,aspartate carbamoyltransferase catalytic subunit
gene-KPHS_05050,putative cytoplasmic protein
gene-KPHS_05060,hypothetical protein
gene-KPHS_05070,sugar isomerase (SIS)
gene-KPHS_05080,ribokinase-like domain-containing protein
gene-KPHS_05090,amidohydrolase family protein
gene-KPHS_05100,C4-dicarboxylate anaerobic carrier
gene-KPHS_05110,GntR family transcriptional regulator
gene-KPHS_05120,ornithine carbamoyltransferase
gene-KPHS_05130,ribonuclease E inhibitor RraB
gene-KPHS_05140,hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA
gene-KPHS_05150,GNAT family acetyltransferase
gene-KPHS_05160,valyl-tRNA synthetase
gene-KPHS_05170,DNA polymerase III subunit chi
gene-KPHS_05180,leucyl aminopeptidase
gene-KPHS_05190,putative transmembrane protein%2C transport
gene-KPHS_05200,putative transmembrane protein%2C transport
gene-KPHS_05210,ATPase
gene-KPHS_05220,TIM barrel protein
gene-KPHS_05230,putative aldehyde dehydrogenase
gene-KPHS_05240,5-deoxy-glucuronate isomerase
gene-KPHS_05250,putative helix-turn-helix protein
gene-KPHS_05260,5-dehydro-2-deoxygluconokinase
gene-KPHS_05270,hypothetical protein
gene-KPHS_05280,putative acetolactate synthase large subunit
gene-KPHS_05290,putative NADH-dependent dehydrogenase
gene-KPHS_05300,protein IolH
gene-KPHS_05310,putative sugar phosphate isomerase/epimerase
gene-KPHS_05320,ABC transporter substrate-binding protein
gene-KPHS_05330,sugar ABC transporter
gene-KPHS_05340,putative phosphohydrolase
gene-KPHS_05350,sn-glycerol 3-phosphate transport system permease
gene-KPHS_05360,putative SN-glycerol-3-phosphate transport system permease
gene-KPHS_05370,putative alcohol dehydrogenase
gene-KPHS_05380,putative sulfate transporter
gene-KPHS_05390,putative carbonic anhdrase
gene-KPHS_05400,putative P4-type integrase
gene-KPHS_05410,hypothetical protein
gene-KPHS_05420,hypothetical protein
gene-KPHS_05430,hypothetical protein
gene-KPHS_05440,transposase InsC for insertion sequence IS903
gene-KPHS_05450,hypothetical protein
gene-KPHS_05460,phage polarity suppression protein
gene-KPHS_05470,phage transcriptional activator%2C Ogr/delta
gene-KPHS_05480,hypothetical protein
gene-KPHS_05490,phage DNA binding protein
gene-KPHS_05500,phage immunity repressor protein
gene-KPHS_05510,hypothetical protein
gene-KPHS_05520,P4 phage protein
